Time,Watt
0,230.56792
17,218.54192
34,198.47443
51,201.97946
68,215.4294
85,250.99255
102,218.4837
119,269.03708
136,213.01248
153,200.87926
170,217.44574
187,207.90742
204,253.67984
221,274.09073
238,204.5309
255,228.95615
272,266.17218
289,231.1123
306,241.68881
323,230.43674
340,216.41202
357,227.55228
374,213.50562
391,210.97313
408,215.1032
425,235.88266
442,224.27065
459,216.9568
476,206.59988
493,197.43309
510,221.10654
527,218.03151
544,220.54596
561,216.34418
578,207.06549
595,234.3259
612,211.50224
629,209.88313
646,208.72021
663,212.65509
680,232.25621
697,203.74628
714,217.17415
731,231.70773
748,210.34196
765,235.2402
782,208.01878
799,220.49797
816,224.86981
833,223.59698
850,228.27965
867,260.83484
884,205.43553
901,226.83299
918,223.70264
935,213.51486
952,252.24327
969,219.38701
986,218.7946
1003,196.41656
1020,234.58531
1037,223.97638
1054,238.51599
1071,228.38144
1088,214.34648
1105,211.40901
1122,217.87775
1139,209.64307
1156,203.16179
1173,208.61783
1190,226.19197
1207,221.97206
1224,212.38947
1241,219.34628
1258,204.52635
1275,210.45158
1292,230.22523
1309,205.91414
1326,211.09914
1343,212.09914
1360,213.09914
1377,214.09914
1394,215.09914
1411,216.09914
1428,217.09914
1445,218.09914
1462,219.09914
1479,220.09914
1496,221.09914
1513,222.09914
1530,223.09914
1547,224.09914
1564,225.09914
1581,226.09914
1598,227.09914
1615,228.09914
1632,229.09914
1649,230.09914
1666,231.09914
1683,232.09914
1700,233.09914
1717,234.09914
1734,200
1751,160
1768,160
1785,160
1802,145
1819,146
1836,147
1853,145
1870,142
1887,143
1904,142
1921,140.70131
1938,141.70131
1955,142.70131
1972,143.70131
1989,144.70131
2006,145.70131
2023,146.70131
2040,184.47565
2057,191.82858
2074,188.9343
2091,184.47614
2108,188.27406
2125,182.59117
2142,209.07512
2159,212.15147
2176,177.18288
2193,206.65393
2210,177.11728
2227,199.78583
2244,194.07253
2261,171.93404
2278,198.69041
2295,179.59045
2312,195.64845
2329,217.75047
2346,214.82938
2363,261.6586
2380,207.84258
2397,204.73914
2414,192.62608
2431,180
2448,166.72525
2465,253.62791
2482,189.88232
2499,171.79634
2516,145.12932
2533,156.76595
2550,195.37894
2567,180
2584,151.3143
2601,131.25856
2618,140
2635,140.77124
2652,154.53694
2669,156.55197
2686,147.85756
2703,143.66747
2720,212.10884
2737,185.24445
2754,183.11983
2771,187.157
2788,156.30666
2805,141.3826
2822,149.4153
2839,149.80022
2856,140.87737
2873,161.07733
2890,165.35678
2907,153.92487
2924,137.14221
2941,143.28105
2958,159.06685
2975,153.13103
2992,135.91225
3009,149.61522
3026,152.22523
3043,137.6806
3060,150.2216
3077,148.19731
3094,145.43578
3111,147.35858
3128,161.18709
3145,163.92784
3162,163.9875
3179,153.237
3196,150.54338
3213,154.61647
3230,163.38785
3247,160.10002
3264,160.11592
3281,152.26668
3298,152.66489
3315,142.7793
3332,161.33377
3349,140.53206
3366,164.77165
3383,170.98642
3400,166.73535
3417,144.30757
3434,145.91925
3451,143.32249
3468,147.12747
3485,153.88924
3502,142.32898
3519,153.05302
3536,146.22021
3553,148.20663
3570,153.57111
3587,156.17442
3604,150.73856
3621,151.77234
3638,152.70613
3655,151.22299
3672,149.48755
3689,152.52484
3706,140.25525
3723,145.99007
3740,142.96069
3757,151.60686
3774,142.12132
3791,214.40356
3808,224.6248
3825,200.82208
3842,202.74533
3859,209.97511
3876,202.83957
3893,190.83951
3910,195.61197
3927,177.43303
3944,185.00192
3961,173.94272
3978,140
3995,135.41043
4012,138
4029,139.02371
4046,151.46747
4063,155.84142
4080,140
4097,146.97121
4114,139.27473
4131,136.28877
4148,139.41162
4165,141.77177
4182,147.64757
4199,144.59874
4216,135.37294
4233,150.86461
4250,144.38976
4267,146.11543
4284,136.34337
4301,146.28189
4318,136.12587
4335,137.40935
4352,136.33202
4369,135.64783
4386,137.47693
4403,145.24628
4420,134.48412
4437,141.7196
4454,136.55046
4471,146.87561
4488,144.96927
4505,143.60689
4522,152.34901
4539,151.8577
4556,157.15291
4573,140
4590,150
4607,155.40169
4624,138.33488
4641,138.42209
4658,143.27113
4675,142.70316
4692,144.7916
4709,136.08444
4726,148.56201
4743,140
4760,139.58545
4777,140
4794,148.20384
4811,136.26617
4828,132.69286
4845,145.2924
4862,200.08182
4879,189.12854
4896,188.60078
4913,186.01759
4930,189.87968
4947,199.31953
4964,195.42488
4981,202.82768
4998,195.67245
5015,205.56293
5032,190.35286
5049,216.93123
5066,213.46373
5083,199.00182
5100,205.83655
5117,213.31421
5134,218.73251
5151,202.68581
5168,213.62132
5185,221.12076
5202,199.71436
5219,205.37444
5236,209.26006
5253,216.72258
5270,230
5287,230
5304,217.31665
5321,207.85335
5338,219.4205
5355,207.96606
5372,215.54074
5389,214.33961
5406,217.77261
5423,197.10776
5440,150
5457,150
5474,143.46738
5491,140
5508,137.11435
5525,141.64673
5542,137.31367
5559,142.84641
5576,140.22548
5593,140.43715
5610,147.68153
5627,154.00378
5644,147.86942
5661,142.06345
5678,146.22272
5695,160.43787
5712,146.99443
5729,149.28801
5746,149.21745
5763,211.99437
5780,225.31297
5797,220.93524
5814,219.75914
5831,217.7336
5848,212.76402
5865,219.89716
5882,210.49361
5899,153.33519
5916,154.28877
5933,143.41212
5950,155.73589
5967,150.70236
5984,148.40019
6001,153.75717
6018,150.44232
6035,157.44275
6052,146.55096
6069,151.33228
6086,151.30878
6103,151.1683
6120,149.75903
6137,150.72601
6154,157.54141
6171,151.95699
6188,148.65936
6205,154.27966
6222,147.53186
6239,153.67159
6256,149.27066
6273,151.69753
6290,233.47115
6307,219.32387
6324,225.01352
6341,225.25258
6358,222.47357
6375,218.59383
6392,211.26183
6409,215.06956
6426,218.89804
6443,154.6407
6460,143.12543
6477,155.21451
6494,151.22464
6511,149.34026
6528,150.2363
6545,152.40155
6562,144.8868
6579,140.40804
6596,152.44704
6613,150.95512
6630,151.20871
6647,146.09798
6664,149.70045
6681,139.1517
6698,146.90869
6715,135.36188
6732,131.34096
6749,137.54842
6766,141.65868
6783,138.48515
6800,130.30229
6817,148.59811
6834,146.55904
6851,146.48918
6868,154.97049
6885,150.28519
6902,151.89516
6919,157.36961
6936,152.86147
6953,150.72958
6970,162.06516
6987,211.00473
7004,226.6248
7021,145.13
7038,151.53252
7055,143.29561
7072,140.47906
7089,142.01495
7106,148.16023
7123,144.35518
7140,151.98155
7157,142.53947
7174,145.73672
7191,147.86098
7208,148.23041
7225,150.63332
7242,147.02327
7259,151.03345
7276,141.7236
7293,154.71239
7310,141.57141
7327,135.65364
7344,140.29007
7361,145.79153
7378,151.28003
7395,151.18636
7412,144.28439
7429,150.76614
7446,144.04976
7463,211.80959
